Timestamp,Age,Visiting the Quad,Visiting a local bar,Visiting a local restaurant,Attending the Walk of Champions,Attending the Elephant Stomp,Visiting the Bryant Museum,Tailgating or visiting a tailgate,Visiting the Supe Store and/or other merchandise vendors,Watching the Million Dollar Band at halftime,Watching the game inside Bryant Denny Stadium,"Watching pre-game activities inside Bryant Denny Stadium (warm-ups, flyover, highlight videos, etc.)","Watching ESPN College Gameday, SEC Nation, etc. (on television or live on campus)",Watching other games,Visiting a fraternity or sorority house,Listening to the Crimson Tide Sports Network,Autograph sessions with other teams or celebrities,"Visiting corporate activations (Coca-Cola Kickoff Zone, Mercedes Benz Fan Fest, Nissan Heisman House, etc.)"
2020/04/03 3:06:04 PM AST,18-24,5,3,4,4,1,2,5,1,2,4,4,2,2,1,1,1,1
2020/04/03 3:17:07 PM AST,25-34,1,4,1,1,1,1,5,1,2,5,5,5,5,1,4,1,1
2020/04/03 5:18:43 PM AST,25-34,5,1,2,1,1,1,3,1,4,5,5,2,5,1,1,1,1
2020/04/03 5:30:50 PM AST,25-34,4,2,3,5,2,3,5,4,4,5,3,3,4,1,2,3,2
2020/04/03 6:09:21 PM AST,25-34,5,4,4,4,4,3,4,2,4,5,2,4,3,3,3,3,2
2020/04/03 7:34:22 PM AST,18-24,5,3,4,3,2,1,5,1,2,4,2,3,4,1,1,1,2
2020/04/03 9:35:31 PM AST,35-44,2,5,3,2,2,1,4,3,3,2,2,5,5,3,1,1,1
2020/04/03 9:36:32 PM AST,35-44,4,3,4,2,1,1,4,2,5,5,5,4,2,1,5,1,2
2020/04/03 9:38:26 PM AST,55-64,3,4,4,3,3,3,4,5,3,5,4,3,4,3,4,3,4
2020/04/03 9:41:22 PM AST,25-34,5,4,5,4,4,5,4,3,3,4,4,4,3,2,3,2,2
2020/04/03 9:45:24 PM AST,25-34,5,5,4,4,4,3,5,4,5,5,3,5,4,1,3,1,3
2020/04/03 9:56:51 PM AST,25-34,3,3,5,1,1,1,3,1,1,2,1,1,4,1,1,1,1
2020/04/03 10:39:21 PM AST,25-34,2,1,3,3,2,4,5,3,1,5,4,2,5,1,1,1,1
2020/04/03 10:57:20 PM AST,25-34,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1
2020/04/03 11:06:17 PM AST,45-54,3,5,5,3,5,1,5,1,2,5,4,5,4,3,5,1,1
2020/04/03 11:06:59 PM AST,45-54,3,4,2,1,1,1,5,5,1,5,4,2,3,4,3,1,1
2020/04/03 11:07:30 PM AST,45-54,4,1,4,5,5,5,3,3,5,5,4,3,3,1,5,3,4
2020/04/03 11:18:52 PM AST,35-44,2,5,4,1,1,1,4,1,3,3,1,3,2,1,1,1,1
2020/04/03 11:41:11 PM AST,55-64,5,1,4,5,3,3,5,3,5,5,5,5,5,1,4,1,5
2020/04/04 1:54:08 AM AST,25-34,3,1,1,5,3,3,2,2,4,5,5,5,4,1,3,1,2
2020/04/04 2:14:40 AM AST,55-64,4,3,4,4,4,3,4,4,4,5,4,3,4,3,4,4,3
2020/04/04 3:43:33 AM AST,18-24,5,2,3,4,5,2,2,3,5,5,5,3,4,1,3,1,1
2020/04/04 6:29:20 AM AST,25-34,4,2,2,3,2,2,4,2,3,5,5,4,4,1,4,2,1
2020/04/04 8:42:50 AM AST,25-34,4,5,2,1,1,1,4,2,1,5,4,4,3,2,1,1,3
2020/04/04 11:23:42 AM AST,35-44,4,3,3,2,2,2,5,4,4,5,5,5,4,5,2,2,1
2020/04/04 2:04:47 PM AST,45-54,4,4,5,2,3,2,4,4,4,5,5,5,4,1,5,2,3
2020/04/04 2:18:31 PM AST,25-34,4,5,5,3,3,3,5,4,3,5,4,4,5,1,3,3,3
2020/04/04 3:58:11 PM AST,25-34,2,4,4,3,3,3,1,3,2,1,1,1,3,4,4,5,2
2020/04/04 5:52:28 PM AST,18-24,4,1,1,2,5,4,4,2,5,5,5,3,3,3,3,3,2
2020/04/04 7:46:32 PM AST,35-44,2,2,1,1,1,1,3,3,3,5,5,4,3,1,5,1,1
2020/04/04 7:52:00 PM AST,45-54,3,3,4,3,3,2,4,4,3,5,4,4,4,4,4,3,3
2020/04/04 11:23:55 PM AST,25-34,4,5,5,4,2,2,5,3,4,5,4,4,4,4,4,1,2
2020/04/05 11:51:08 AM AST,25-34,5,3,4,1,5,1,4,3,5,4,2,1,2,1,1,1,1
2020/04/05 9:22:16 PM AST,25-34,4,4,5,1,1,1,4,3,5,5,4,2,1,1,3,1,2
2020/04/05 9:23:40 PM AST,35-44,3,5,4,3,3,2,5,3,4,5,5,5,5,3,4,3,4
2020/04/05 11:15:24 PM AST,25-34,3,2,3,2,1,1,5,2,1,5,5,5,5,1,2,1,1
